county,candidate,party,office,district,votes
Hamilton,Alan Keyes,R,President,1,2297
Hamilton,Gary Bauer,R,President,1,336
Hamilton,George Bush,R,President,1,31209
Hamilton,John Mccain,R,President,1,20107
Hamilton,Steve Forbes,R,President,1,512
Adams,Alan Keyes,R,President,2,131
Brown,Alan Keyes,R,President,2,146
Hamilton,Alan Keyes,R,President,2,1769
Warren,Alan Keyes,R,President,2,513
Clermont,Alan Keyes,R,President,2,919
Adams,Gary Bauer,R,President,2,44
Warren,Gary Bauer,R,President,2,71
Brown,Gary Bauer,R,President,2,36
Hamilton,Gary Bauer,R,President,2,248
Clermont,Gary Bauer,R,President,2,155
Adams,George Bush,R,President,2,2678
Clermont,George Bush,R,President,2,14604
Hamilton,George Bush,R,President,2,32840
Warren,George Bush,R,President,2,8659
Brown,George Bush,R,President,2,2843
Adams,John Mccain,R,President,2,1110
Warren,John Mccain,R,President,2,4651
Hamilton,John Mccain,R,President,2,22519
Clermont,John Mccain,R,President,2,9031
Brown,John Mccain,R,President,2,1392
Adams,Steve Forbes,R,President,2,62
Hamilton,Steve Forbes,R,President,2,449
Brown,Steve Forbes,R,President,2,52
Warren,Steve Forbes,R,President,2,108
Clermont,Steve Forbes,R,President,2,247
Montgomery,Alan Keyes,R,President,3,2832
Montgomery,Gary Bauer,R,President,3,460
Montgomery,George Bush,R,President,3,37548
Montgomery,John Mccain,R,President,3,24706
Montgomery,Steve Forbes,R,President,3,473
Allen,Alan Keyes,R,President,4,1163
Auglaize,Alan Keyes,R,President,4,264
Wyandot,Alan Keyes,R,President,4,157
Richland,Alan Keyes,R,President,4,959
Morrow,Alan Keyes,R,President,4,219
Marion,Alan Keyes,R,President,4,394
Logan,Alan Keyes,R,President,4,126
Knox,Alan Keyes,R,President,4,252
Hardin,Alan Keyes,R,President,4,181
Hancock,Alan Keyes,R,President,4,714
Crawford,Alan Keyes,R,President,4,365
Allen,Gary Bauer,R,President,4,149
Crawford,Gary Bauer,R,President,4,55
Hardin,Gary Bauer,R,President,4,71
Logan,Gary Bauer,R,President,4,37
Auglaize,Gary Bauer,R,President,4,45
Wyandot,Gary Bauer,R,President,4,42
Richland,Gary Bauer,R,President,4,120
Morrow,Gary Bauer,R,President,4,44
Marion,Gary Bauer,R,President,4,55
Knox,Gary Bauer,R,President,4,41
Hancock,Gary Bauer,R,President,4,94
Allen,George Bush,R,President,4,12837
Hancock,George Bush,R,President,4,9195
Auglaize,George Bush,R,President,4,3652
Wyandot,George Bush,R,President,4,2395
Richland,George Bush,R,President,4,10251
Morrow,George Bush,R,President,4,3230
Marion,George Bush,R,President,4,5374
Logan,George Bush,R,President,4,1919
Knox,George Bush,R,President,4,2929
Hardin,George Bush,R,President,4,2998
Crawford,George Bush,R,President,4,4094
Allen,John Mccain,R,President,4,3907
